기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울경기
기간 : 20190101~20200101

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,서울경기,-5,-8.9,-0.3
2019-01-02,서울경기,-5,-9.3,0.4
2019-01-03,서울경기,-3.5,-9.1,3.2
2019-01-04,서울경기,-1.5,-7.1,3.9
2019-01-05,서울경기,-2.8,-6,1.4
2019-01-06,서울경기,-3.3,-7.1,2.4
2019-01-07,서울경기,-2,-7.2,3.4
2019-01-08,서울경기,-3.2,-6.9,1.1
2019-01-09,서울경기,-5,-10.1,0.3
2019-01-10,서울경기,-1.1,-4.8,2.5
2019-01-11,서울경기,1.8,-1.3,6.6
2019-01-12,서울경기,2.2,-1.7,7.5
2019-01-13,서울경기,0.6,-4.4,7.3
2019-01-14,서울경기,0.6,-3.3,4.7
2019-01-15,서울경기,-1.8,-6.8,2.8
2019-01-16,서울경기,-5.1,-10.3,-1.3
2019-01-17,서울경기,-0.2,-3.9,4.3
2019-01-18,서울경기,-0.1,-5.9,6.4
2019-01-19,서울경기,3,-1.2,8.5
2019-01-20,서울경기,-1.3,-5.7,3.8
2019-01-21,서울경기,-0.9,-7.2,5.2
2019-01-22,서울경기,1.5,-3.6,7.2
2019-01-23,서울경기,1.9,-2.6,7.5
2019-01-24,서울경기,-0.5,-5.5,5.8
2019-01-25,서울경기,-1.1,-4.9,2.7
2019-01-26,서울경기,-2.5,-6,2.6
2019-01-27,서울경기,-0.2,-7.4,4.8
2019-01-28,서울경기,1.3,-3.1,4.5
2019-01-29,서울경기,-0.7,-6.2,5.8
2019-01-30,서울경기,1.6,-3.2,6.9
2019-01-31,서울경기,-2.2,-6.1,2
2019-02-01,서울경기,-2.2,-7.9,3.2
2019-02-02,서울경기,2,-4.3,6.8
2019-02-03,서울경기,3.2,1.1,5.1
2019-02-04,서울경기,-0.7,-3.5,2.9
2019-02-05,서울경기,2.4,-4.1,9.5
2019-02-06,서울경기,4.8,-0.7,9.9
2019-02-07,서울경기,-2.3,-8.1,5.5
2019-02-08,서울경기,-6.3,-10.3,-2
2019-02-09,서울경기,-5,-8.4,-1.8
2019-02-10,서울경기,-4.9,-9,-1.9
2019-02-11,서울경기,-2.9,-7.8,2.1
2019-02-12,서울경기,-0.6,-4.8,3.6
2019-02-13,서울경기,-2.2,-5.9,2.3
